,name,average_rating,user,user_rating,comment,url,target
0,지지고홍대,4.7,와웅공원,5.0,언제나,https://place.map.kakao.com/20125512,1
1,지지고홍대,4.7,김수현,5.0,이 곳이 있어 행복합니다누들두들 하.. 진짜 너무 맛있어ㅠㅠㅠㅠ사장님들도 너무 좋으심,https://place.map.kakao.com/20125512,1
2,지지고홍대,4.7,김성일,5.0,,https://place.map.kakao.com/20125512,1
3,지지고홍대,4.7,순두부,5.0,처음 간지도 벌써 10년됐네요 지지고는 홍대점이 최고,https://place.map.kakao.com/20125512,1
4,지지고홍대,4.7,김수,5.0,와..진짜 고등학생때 입시하면서 먹었던곳이 아직까지있어서 너무 좋다 오늘갔는데 문닫았길래 못봤지만 항상 맛있었음..다음엔꼭 들러야지,https://place.map.kakao.com/20125512,1
5,지지고홍대,4.7,칸예,5.0,사장님 항상 번창하세요,https://place.map.kakao.com/20125512,1
6,지지고홍대,4.7,정복이,5.0,추억 맛 느끼러 종종 와요. 밥보다 면이 더 맛있어요.,https://place.map.kakao.com/20125512,1
7,지지고홍대,4.7,민영,4.0,추억의 맛,https://place.map.kakao.com/20125512,1
8,지지고홍대,4.7,유림,4.0,맛있어요,https://place.map.kakao.com/20125512,1
9,지지고홍대,4.7,리뷰몰아서쓰는사람aka벼락치기인간,5.0,사장님이 친절하십니다. 양배추 바로바로 썰어서 만드시는 것 같아요. 맛있어요!,https://place.map.kakao.com/20125512,1
10,지지고홍대,4.7,.,5.0,질리지않는맛,https://place.map.kakao.com/20125512,1
11,지지고홍대,4.7,감자왕,5.0,누들누들 밥추가 치즈추가 국룰,https://place.map.kakao.com/20125512,1
12,지지고홍대,4.7,헤이,5.0,간단한 철판볶음밥 볶음면 먹는 곳이고 맵기 조절 가능해요소스 맛에 가는 곳,https://place.map.kakao.com/20125512,1
13,지지고홍대,4.7,그치,2.0,"소스는 굉장히 중독적, 해물건더기가 컵라면보다 부실함. 차라리 편의점김밥 건더기가 더 풍성한 편임.",https://place.map.kakao.com/20125512,0
14,지지고홍대,4.7,addjs,5.0,맛있고 저렴해서 자주 사먹어요 ㅎㅎ 최고!,https://place.map.kakao.com/20125512,1
15,지지고홍대,4.7,J,5.0,맛있어요... 많이파세요,https://place.map.kakao.com/20125512,1
